"Скважина","НГДУ","ЦДНГ","ГУ","ЗУ","Категория","Состояние","Причина простоя","Способ эксплуатации","№ отвода","Qж, м³/сут","Обв, %","Qн, т/сут"
UZN_3919,НГДУ-1,ЦДНГ-11,ГУ-54,ЗУ-54д,Нефтяная,В работе,,ШГН,5.000000,25.0,60.0,8.0
UZN_3920,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_3921,НГДУ-3,ЦДНГ-5,ГУ-76,ЗУ-76в,Нефтяная,В работе,,ШГН,14.000000,30.0,70.0,8.0
UZN_3922,НГДУ-2,ЦДНГ-3,ГУ-45,ЗУ-45,Нефтяная,В работе,,УЭЦН,13.000000,60.0,70.0,15.0
UZN_3923,НГДУ-1,ЦДНГ-11,ГУ-84,,Нефтяная,В работе,,ШГН,7.000000,40.0,90.0,3.0
UZN_3924,НГДУ-4,ЦДНГ-6,ГУ-23,,Нефтяная,В работе,,ШГН,5.000000,45.0,90.0,4.0
UZN_3925,НГДУ-1,ЦДНГ-11,ГУ-54,ЗУ-54б,Контрольная,В простое,ОПРС,ШГН,7.000000,15.0,93.0,1.0
UZN_3926,НГДУ-1,ЦДНГ-11,ГУ-54,ЗУ-54г,Нефтяная,В работе,,ШГН,8.000000,40.0,93.0,2.0
UZN_3927,НГДУ-3,ЦДНГ-5,ГУ-80,,Нефтяная,Бездействие,Геологические причины,ШГН,13.000000,25.0,80.0,4.0
UZN_3928,НГДУ-4,ЦДНГ-6,ГУ-110,ЗУ-110,Нефтяная,Ликвидированная,Технические причины,ШГН,4.000000,50.0,97.0,1.0
UZN_3929,НГДУ-1,ЦДНГ-2,ГУ-89,ЗУ-89а,Нефтяная,В работе,,ШГН,2.000000,15.0,50.0,6.0
UZN_3930,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_3931,НГДУ-1,ЦДНГ-11,ГУ-83,,Нефтяная,В работе,,УЭЦН,2.000000,40.0,90.0,3.0
UZN_3932,НГДУ-3,ЦДНГ-5,ГУ-76,ЗУ-76б,Нефтяная,В работе,,ШГН,10.000000,25.0,90.0,2.0
UZN_3933,НГДУ-2,ЦДНГ-12,ГУ-109,ЗУ-109,Нефтяная,В работе,,ШГН,6.000000,60.0,92.0,4.0
UZN_3934,НГДУ-1,ЦДНГ-11,ГУ-4,ЗУ-4б,Нефтяная,В работе,,ШГН,3.000000,45.0,93.0,3.0
UZN_3935,НГДУ-2,ЦДНГ-3,ГУ-43,ЗУ-43,Нефтяная,В работе,,ШГН,11.000000,25.0,45.0,12.0
UZN_3936,НГДУ-2,ЦДНГ-9,ГУ-47,ЗУ-47а,Нефтяная,В работе,,ШГН,6.000000,40.0,95.0,2.0
UZN_3937,НГДУ-2,,,,Нагнетательная,Ликвидированная,,Отсутствует,,,,
UZN_3938,НГДУ-2,ЦДНГ-9,ГУ-47,ЗУ-47б,Нефтяная,В работе,,ШГН,11.000000,35.0,85.0,4.0
UZN_3939,НГДУ-2,ЦДНГ-9,ГУ-47,ЗУ-47а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,60.0,85.0,8.0
UZN_3940,НГДУ-2,ЦДНГ-9,ГУ-47,ЗУ-47б,Нефтяная,В простое,КРС,ШГН,12.000000,15.0,80.0,3.0
UZN_3941,НГДУ-2,,,,Нагнетательная,В работе,,Отсутствует,,,,
UZN_3942,НГДУ-2,,,,Нагнетательная,В работе,,Отсутствует,,10.0,70.0,3.0
UZN_3943,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,20.0,98.0,0.0
UZN_3944,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102ж,Нефтяная,Ликвидированная,Технические причины,Отсутствует,13.000000,5.0,75.0,1.0
UZN_3945,НГДУ-2,ЦДНГ-12,ГУ-34,ЗУ-34в,Нефтяная,В работе,,ШГН,4.000000,20.0,60.0,7.0
UZN_3946,НГДУ-4,,,,Нагнетательная,Бездействие,Нет забоя,Отсутствует,,,,
UZN_3947,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,1.000000,10.0,85.0,1.0
UZN_3948,НГДУ-4,,,,Нагнетательная,В ожидании ликвидации,,Отсутствует,,2.0,40.0,1.0
UZN_3949,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102а,Контрольная,В простое,Нерентабельная для эксплуатации скважина,Отсутствует,10.000000,10.0,99.0,0.0
UZN_3950,НГДУ-3,,,,Нагнетательная,Бездействие,Дефект эксплуатационной колонны,Отсутствует,,,,
UZN_3951,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102г,Нефтяная,Ликвидированная,Геологические причины,Отсутствует,8.000000,10.0,85.0,1.0
UZN_3952,НГДУ-2,ЦДНГ-12,ГУ-109,ЗУ-109а,Нефтяная,В работе,,ШГН,7.000000,75.0,85.0,9.0
UZN_3953,НГДУ-1,ЦДНГ-11,ГУ-85,,Нефтяная,В работе,,ШГН,14.000000,60.0,93.0,4.0
UZN_3954,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15а-1,Нефтяная,В работе,,ШГН,3.000000,20.0,50.0,8.0
UZN_3955,НГДУ-1,ЦДНГ-11,ГУ-54,ЗУ-54е,Нефтяная,В работе,,ШГН,4.000000,50.0,92.0,3.0
UZN_3956,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15а-1,Нефтяная,Ликвидированная,Технические причины,Отсутствует,4.000000,15.0,35.0,8.0
UZN_3957,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15б-2,Нефтяная,В работе,,ШГН,5.000000,20.0,85.0,3.0
UZN_3958,НГДУ-3,ЦДНГ-13,ГУ-2,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,4.000000,0.0,0.0,0.0
UZN_3959,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15б-2,Нефтяная,В работе,,ШГН,2.000000,55.0,95.0,2.0
UZN_3960,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,,,
UZN_3961,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15б-2,Нефтяная,В работе,,УЭЦН,11.000000,90.0,95.0,4.0
UZN_3962,НГДУ-3,ЦДНГ-13,ГУ-74,ЗУ-74б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,4.000000,15.0,80.0,3.0
UZN_3963,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,15.0,80.0,3.0
UZN_3964,НГДУ-1,ЦДНГ-2,ГУ-88,ЗУ-88г,Контрольная,В простое,Перевод в КФ,ШГН,12.000000,35.0,98.0,1.0
UZN_3965,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_3966,НГДУ-2,,,,Нагнетательная,В ожидании ликвидации,,Отсутствует,,,,
UZN_3967,НГДУ-1,,,,Нагнетательная,Бездействие,Смещение эксплуатационный колонны,Отсутствует,,,,
UZN_3969,НГДУ-2,ЦДНГ-12,ГУ-38,ЗУ-38а,Нефтяная,В работе,,УЭЦН,8.000000,40.0,90.0,3.0
UZN_3970,НГДУ-3,ЦДНГ-13,ГУ-74,ЗУ-74а-1,Нефтяная,В работе,,ШГН,13.000000,30.0,85.0,4.0
UZN_3971,НГДУ-3,ЦДНГ-5,ГУ-82,ЗУ-82г,Нефтяная,В работе,,ШГН,3.000000,20.0,80.0,3.0
UZN_3972,НГДУ-1,ЦДНГ-2,ГУ-88,ЗУ-88в,Нефтяная,В работе,,ШГН,2.000000,45.0,93.0,3.0
UZN_3973,НГДУ-1,ЦДНГ-11,ГУ-4,ЗУ-4б,Нефтяная,В работе,,УЭЦН,7.000000,30.0,93.0,2.0
UZN_3974,НГДУ-1,ЦДНГ-11,ГУ-84,ЗУ-84д,Нефтяная,В работе,,ШГН,1.000000,40.0,98.0,1.0
UZN_3975,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15б-2,Нефтяная,Ликвидированная,,ШГН,10.000000,5.0,85.0,1.0
UZN_3976,НГДУ-1,ЦДНГ-11,ГУ-4,,Нефтяная,В работе,,ШГН,9.000000,45.0,90.0,4.0
UZN_3977,НГДУ-2,ЦДНГ-12,ГУ-31,ЗУ-31а,Нефтяная,В простое,ПРС,ШГН,3.000000,25.0,70.0,6.0
UZN_3978,НГДУ-2,ЦДНГ-9,ГУ-47,ЗУ-47д,Нефтяная,В работе,,ШГН,1.000000,25.0,60.0,8.0
UZN_3979,НГДУ-3,ЦДНГ-13,ГУ-2,,Нефтяная,В работе,,ШГН,1.000000,45.0,95.0,2.0
UZN_3980,НГДУ-3,,,,Нагнетательная,Ликвидированная,Геологические причины,Отсутствует,,,,
UZN_3981,НГДУ-1,ЦДНГ-11,ГУ-84,ЗУ-84а,Нефтяная,В работе,,ШГН,3.000000,90.0,93.0,5.0
UZN_3982,НГДУ-1,,,,Нагнетательная,В работе,,Отсутствует,13.000000,5.0,45.0,2.0
UZN_3983,НГДУ-3,ЦДНГ-1,ГУ-62,ЗУ-62а-1,Нефтяная,В работе,,ШГН,10.000000,60.0,90.0,5.0
UZN_3984,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,20.0,92.0,1.0
UZN_3985,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15б-2,Нефтяная,Ликвидированная,Технические причины,Отсутствует,13.000000,50.0,85.0,6.0
UZN_3986,НГДУ-1,ЦДНГ-11,ГУ-84,ЗУ-84д,Нефтяная,В простое,ОПРС,ШГН,4.000000,25.0,85.0,3.0
UZN_3987,НГДУ-3,,,,Нагнетательная,Бездействие,Авария с НКТ,Отсутствует,,,,
UZN_3988,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,,,
UZN_3989,НГДУ-3,ЦДНГ-1,ГУ-3,ЗУ-61г,Нефтяная,В работе,,ШГН,6.000000,50.0,92.0,3.0
UZN_3990,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15а-2,Нефтяная,В работе,,ШГН,9.000000,40.0,85.0,5.0
UZN_3991,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61Д,Нефтяная,В работе,,ШГН,3.000000,40.0,90.0,3.0
UZN_3992,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а-1,Нефтяная,В работе,,ШГН,10.000000,55.0,95.0,2.0
UZN_3993,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,2.000000,20.0,90.0,2.0
UZN_3994,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61а-2,Нефтяная,В работе,,УЭЦН,8.000000,40.0,92.0,3.0
UZN_3995,НГДУ-3,ЦДНГ-13,ГУ-68,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,30.0,99.0,0.0
UZN_3996,НГДУ-1,ЦДНГ-11,ГУ-85,ЗУ-85г,Нефтяная,В работе,,ШГН,9.000000,20.0,90.0,2.0
UZN_3997,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61а-2,Нефтяная,В работе,,УЭЦН,14.000000,90.0,95.0,4.0
UZN_3998,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а-1,Нефтяная,В работе,,УЭЦН,6.000000,100.0,95.0,4.0
UZN_3999,НГДУ-3,ЦДНГ-10,ГУ-11,,Контрольная,В простое,Прочие,ШГН,7.000000,10.0,95.0,0.0
UZN_4000,НГДУ-3,ЦДНГ-5,ГУ-82,ЗУ-82б,Нефтяная,Ликвидированная,Геологические причины,Отсутствует,9.000000,25.0,85.0,3.0
UZN_4001,НГДУ-3,ЦДНГ-5,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4002,НГДУ-3,ЦДНГ-13,ГУ-74,ЗУ-74а-1,Нефтяная,В работе,,ШГН,7.000000,20.0,80.0,3.0
UZN_4003,НГДУ-3,ЦДНГ-5,ГУ-76,ЗУ-76б,Нефтяная,Ликвидированная,Технические причины,ШГН,3.000000,5.0,68.0,1.0
UZN_4004,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2в,Нефтяная,В работе,,УЭЦН,5.000000,55.0,95.0,2.0
UZN_4005,НГДУ-3,ЦДНГ-5,ГУ-81,ЗУ-81в,Контрольная,В простое,Нерентабельная,ШГН,12.000000,15.0,95.0,1.0
UZN_4006,НГДУ-3,ЦДНГ-5,ГУ-81,ЗУ-81в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,40.0,98.0,1.0
UZN_4007,НГДУ-3,ЦДНГ-5,ГУ-76,ЗУ-76а,Нефтяная,В работе,,ШГН,6.000000,50.0,95.0,2.0
UZN_4008,НГДУ-3,ЦДНГ-10,ГУ-65,ЗУ-65б,Нефтяная,В работе,,ШГН,6.000000,35.0,80.0,6.0
UZN_4009,НГДУ-1,ЦДНГ-8,ГУ-57,ЗУ-57б,Нефтяная,В работе,,ШГН,10.000000,40.0,90.0,3.0
UZN_4010,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,20.0,91.6,1.0
UZN_4011,НГДУ-3,ЦДНГ-5,ГУ-77,ЗУ-77б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,45.0,85.0,6.0
UZN_4012,НГДУ-3,ЦДНГ-5,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4013,НГДУ-3,ЦДНГ-5,ГУ-76,ЗУ-76а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,30.0,90.0,3.0
UZN_4014,НГДУ-3,ЦДНГ-5,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4015,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4016,НГДУ-3,ЦДНГ-10,ГУ-66,ЗУ-66г,Нефтяная,В работе,,ШГН,2.000000,10.0,50.0,4.0
UZN_4017,НГДУ-3,ЦДНГ-13,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4018,НГДУ-1,ЦДНГ-8,ГУ-7,ЗУ-7в,Нефтяная,Бездействие,Авария подземного оборудования,ШГН,14.000000,45.0,92.0,3.0
UZN_4019,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,2.000000,25.0,95.0,1.0
UZN_4020,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4021,НГДУ-1,,,,Нагнетательная,В работе,,Отсутствует,4.000000,5.0,50.0,2.0
UZN_4022,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2б,Нефтяная,В работе,,ШГН,7.000000,25.0,85.0,3.0
UZN_4023,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,20.0,85.0,3.0
UZN_4024,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а-1,Нефтяная,В работе,,УЭЦН,11.000000,70.0,98.0,1.0
UZN_4025,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4026,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,14.000000,3.0,95.0,0.0
UZN_4027,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а-2,Нефтяная,В работе,,ШГН,11.000000,40.0,90.0,3.0
UZN_4028,НГДУ-1,ЦДНГ-2,ГУ-89,ЗУ-89а,Нефтяная,В работе,,ШГН,1.000000,10.0,70.0,3.0
UZN_4029,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4030,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4031,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,2.000000,30.0,90.0,3.0
UZN_4032,НГДУ-3,ЦДНГ-13,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4033,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15а-1,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,,,
UZN_4034,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15а-2,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,,,
UZN_4035,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4036,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,15.0,80.0,3.0
UZN_4037,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15в,Нефтяная,В простое,ПРС,ШГН,9.000000,50.0,95.0,2.0
UZN_4038,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,5.0,80.0,1.0
UZN_4039,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15б-1,Нефтяная,Ликвидированная,Технические причины,Отсутствует,11.000000,40.0,90.0,3.0
UZN_4040,НГДУ-3,ЦДНГ-13,ГУ-15,ЗУ-15а-2,Нефтяная,Ликвидированная,Технические причины,Отсутствует,4.000000,70.0,94.0,4.0
UZN_4041,НГДУ-2,ЦДНГ-3,ГУ-41,ЗУ-41ж,Нефтяная,В работе,,ШГН,3.000000,25.0,50.0,10.0
UZN_4042,НГДУ-3,ЦДНГ-10,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4043,НГДУ-3,ЦДНГ-10,ГУ-65,ЗУ-65б,Нефтяная,В работе,,ШГН,4.000000,50.0,90.0,4.0
UZN_4044,НГДУ-3,ЦДНГ-10,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4045,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4046,НГДУ-3,ЦДНГ-10,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4047,НГДУ-3,ЦДНГ-10,ГУ-11,ЗУ-11а-2,Нефтяная,Бездействие,Дефект эксплуатационной колонны,ШГН,6.000000,50.0,90.0,4.0
UZN_4048,НГДУ-3,ЦДНГ-10,ГУ-11,ЗУ-11б-2,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,5.0,98.0,0.0
UZN_4049,НГДУ-3,ЦДНГ-13,ГУ-68,ЗУ-68б,Нефтяная,В работе,,УЭЦН,12.000000,55.0,90.0,5.0
UZN_4050,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4051,НГДУ-3,ЦДНГ-10,ГУ-66,ЗУ-66г,Нефтяная,В работе,,ШГН,12.000000,20.0,90.0,2.0
UZN_4052,НГДУ-3,ЦДНГ-10,ГУ-11,ЗУ-11а-1,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,10.0,95.0,0.0
UZN_4053,НГДУ-3,ЦДНГ-10,ГУ-11,ЗУ-11а-1,Нефтяная,Ликвидированная,,ШГН,11.000000,55.0,95.0,2.0
UZN_4054,НГДУ-3,ЦДНГ-10,ГУ-65,ЗУ-65а-1,Нефтяная,В работе,,ШГН,14.000000,55.0,85.0,7.0
UZN_4055,НГДУ-2,ЦДНГ-12,ГУ-38,ЗУ-38в,Нефтяная,В работе,,ШГН,4.000000,65.0,70.0,16.0
UZN_4056,НГДУ-3,ЦДНГ-10,ГУ-16,ЗУ-16б,Нефтяная,Бездействие,Авария с НКТ,ШГН,2.000000,15.0,90.0,1.0
UZN_4057,НГДУ-3,ЦДНГ-10,ГУ-65,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4058,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,10.0,75.0,2.0
UZN_4059,НГДУ-3,ЦДНГ-5,ГУ-82,ЗУ-82г,Нефтяная,В работе,,ШГН,2.000000,40.0,90.0,3.0
UZN_4060,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4061,НГДУ-3,ЦДНГ-10,ГУ-11,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,7.000000,30.0,98.0,0.0
UZN_4062,НГДУ-3,ЦДНГ-10,ГУ-66,ЗУ-66г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,8.000000,30.0,92.0,2.0
UZN_4063,НГДУ-3,ЦДНГ-10,ГУ-11,,Нефтяная,В работе,,ШГН,12.000000,65.0,90.0,5.0
UZN_4064,НГДУ-3,ЦДНГ-10,ГУ-11,,Нефтяная,Ликвидированная,Технические причины,ШГН,2.000000,35.0,95.0,1.0
UZN_4065,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4066,НГДУ-3,ЦДНГ-10,ГУ-65,ЗУ-65в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,25.0,60.0,8.0
UZN_4067,НГДУ-3,ЦДНГ-10,ГУ-16,,Нефтяная,В работе,,УЭЦН,6.000000,30.0,90.0,3.0
UZN_4068,НГДУ-3,ЦДНГ-1,ГУ-60,ЗУ-60а,Нефтяная,В работе,,УЭЦН,12.000000,75.0,92.0,5.0
UZN_4069,НГДУ-3,,,,Нагнетательная,Бездействие,Авария подземного оборудования,Отсутствует,2.000000,25.0,95.0,1.0
UZN_4070,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4071,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61а-1,Нефтяная,В работе,,ШГН,5.000000,85.0,90.0,7.0
UZN_4072,НГДУ-3,ЦДНГ-1,,,Нефтяная,Снят с баланса,,Фонтан,,,,
UZN_4073,НГДУ-3,ЦДНГ-1,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4074,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,85.0,95.0,4.0
UZN_4075,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4076,НГДУ-3,ЦДНГ-1,ГУ-62,ЗУ-62а-1,Нефтяная,В работе,,ШГН,6.000000,35.0,75.0,7.0
UZN_4077,НГДУ-3,ЦДНГ-5,ГУ-82,ЗУ-82а,Нефтяная,В работе,,ШГН,11.000000,50.0,85.0,6.0
UZN_4078,НГДУ-3,,,,Нагнетательная,Бездействие,Дефект эксплуатационной колонны,Отсутствует,,45.0,98.0,1.0
UZN_4079,НГДУ-3,ЦДНГ-1,ГУ-62,ЗУ-3а,Нефтяная,В работе,,УЭЦН,7.000000,60.0,92.0,4.0
UZN_4080,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4081,НГДУ-3,,,,Нагнетательная,Бездействие,Дефект эксплуатационной колонны,Отсутствует,,15.0,30.0,9.0
UZN_4082,НГДУ-3,ЦДНГ-1,ГУ-8,ЗУ-8б,Нефтяная,В работе,,ШГН,6.000000,25.0,90.0,2.0
UZN_4083,НГДУ-3,ЦДНГ-1,ГУ-60,ЗУ-60,Нефтяная,В работе,,ШГН,13.000000,25.0,60.0,8.0
UZN_4084,НГДУ-3,ЦДНГ-1,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4085,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4086,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61а-2,Нефтяная,Ликвидированная,Технические причины,ШГН,1.000000,70.0,99.0,1.0
UZN_4087,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61в,Нефтяная,В работе,,ШГН,11.000000,60.0,92.0,4.0
UZN_4088,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,30.0,92.0,2.0
UZN_4089,НГДУ-3,ЦДНГ-1,ГУ-3,ЗУ-3б-2,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,5.0,98.0,0.0
UZN_4090,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4091,НГДУ-3,ЦДНГ-1,ГУ-61,ЗУ-61б,Нефтяная,В работе,,ШГН,1.000000,40.0,85.0,5.0
UZN_4092,НГДУ-3,,,,Нагнетательная,В работе,,Отсутствует,,20.0,90.0,2.0
UZN_4093,НГДУ-3,ЦДНГ-1,ГУ-60,ЗУ-60,Нефтяная,Бездействие,Дефект эксплуатационной колонны,ШГН,2.000000,80.0,95.0,3.0
UZN_4094,НГДУ-3,ЦДНГ-1,ГУ-8,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,30.0,94.0,2.0
UZN_4095,НГДУ-3,ЦДНГ-5,ГУ-80,ЗУ-80д,Нефтяная,В работе,,ШГН,4.000000,45.0,95.0,2.0
UZN_4096,НГДУ-3,ЦДНГ-1,ГУ-8,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,50.0,99.0,0.0
UZN_4097,НГДУ-3,ЦДНГ-1,ГУ-60,ЗУ-60б,Нефтяная,В работе,,УЭЦН,8.000000,75.0,90.0,6.0
UZN_4098,НГДУ-3,ЦДНГ-10,ГУ-11,ЗУ-11б-1,Контрольная,В простое,ОПРС,Отсутствует,1.000000,25.0,98.0,0.0
UZN_4099,НГДУ-3,ЦДНГ-13,ГУ-74,,Нефтяная,В работе,,УЭЦН,6.000000,160.0,92.0,11.0
UZN_4100,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4101,НГДУ-1,ЦДНГ-8,ГУ-57,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,30.0,98.0,0.0
UZN_4102,НГДУ-1,ЦДНГ-8,ГУ-12,ЗУ-12Д,Нефтяная,В работе,,ШГН,8.000000,50.0,92.0,3.0
UZN_4103,НГДУ-1,ЦДНГ-8,ГУ-12,ЗУ-12г,Нефтяная,В работе,,ШГН,14.000000,35.0,80.0,6.0
UZN_4104,НГДУ-1,ЦДНГ-8,ГУ-13,ЗУ-13б,Нефтяная,Ликвидированная,,ШГН,3.000000,60.0,93.0,4.0
UZN_4105,НГДУ-3,ЦДНГ-13,ГУ-68,ЗУ-68а,Контрольная,В простое,Нерентабельная для эксплуатации скважина,Отсутствует,4.000000,25.0,98.0,0.0
UZN_4106,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а-2,Нефтяная,Бездействие,Дефект эксплуатационной колонны,ШГН,9.000000,20.0,92.0,1.0
UZN_4107,НГДУ-3,ЦДНГ-10,ГУ-92,ЗУ-92а,Нефтяная,В простое,ОПРС,ШГН,9.000000,15.0,85.0,2.0
UZN_4108,НГДУ-1,ЦДНГ-8,ГУ-12,ЗУ-12а-1,Нефтяная,Ликвидированная,Технические причины,ШГН,7.000000,35.0,99.0,0.0
UZN_4109,НГДУ-1,ЦДНГ-8,ГУ-57,ЗУ-57а,Нефтяная,В работе,,ШГН,12.000000,20.0,50.0,8.0
UZN_4110,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4111,НГДУ-1,ЦДНГ-8,ГУ-57,,Нефтяная,В работе,,ШГН,11.000000,25.0,75.0,5.0
UZN_4112,НГДУ-1,ЦДНГ-8,ГУ-57,,Нефтяная,В простое,ПРС,ШГН,13.000000,45.0,92.0,3.0
UZN_4113,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4114,НГДУ-1,ЦДНГ-8,ГУ-12,ЗУ-12а-2,Нефтяная,В работе,,ШГН,1.000000,45.0,92.0,3.0
UZN_4115,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_4116,НГДУ-1,ЦДНГ-8,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
